,Temperature,Humidity,WindSpeed,GeneralDiffuseFlows,PowerConsumption
40,4.408,76.7,0.082,0.037,21466.32911
41,4.29,77.0,0.085,0.033,20846.58228
42,4.304,76.0,0.082,0.048,19983.79747
43,4.513,74.6,0.084,0.055,18908.35443
44,4.489,74.3,0.082,0.081,18167.08861
45,4.356,72.3,0.082,0.07,18075.94937
46,4.478,72.2,0.083,0.073,18063.79747
47,4.583,71.0,0.083,0.066,18045.56962
48,4.794,72.0,0.084,0.187,18385.82278
49,4.807,73.1,0.082,0.955,18987.34177
50,4.757,73.5,0.083,3.188,19576.70886
51,4.509,74.5,0.084,6.643,19837.97468
52,4.346,74.8,0.082,12.64,20166.07595
53,4.718,73.7,0.081,58.97,20676.4557
54,4.704,71.8,0.083,82.5,21296.20253
55,4.624,74.1,0.082,106.9,22043.5443
56,4.629,74.8,0.083,132.1,22651.13924
57,4.599,74.0,0.082,156.1,23131.13924
58,4.524,74.7,0.081,182.4,23641.51899
59,4.575,74.5,0.082,208.8,24668.35443
60,5.124,73.7,0.076,234.8,25275.94937
61,5.836,71.3,2.66,257.9,25920.0
62,5.996,69.85,4.93,282.7,26393.92405
63,6.22,68.81,4.924,307.0,26861.77215
64,6.703,68.01,4.923,327.6,27511.89873
65,6.993,66.14,4.918,349.6,28149.87342
66,7.54,64.21,4.916,371.1,28714.93671
67,8.22,61.9,4.916,388.2,29043.03797
68,9.49,59.3,2.451,401.3,29261.77215
69,10.65,56.03,0.084,419.5,29474.43038
70,11.06,53.52,0.082,430.9,29523.03797
71,12.4,53.26,0.08,437.5,29711.39241
72,13.08,54.36,0.077,450.4,29644.55696
73,14.38,54.42,0.076,470.5,29802.53165
74,15.02,56.46,0.074,480.0,29887.59494
75,15.55,58.7,0.075,486.1,30039.49367
76,15.56,59.23,0.076,490.2,29966.58228
77,15.49,59.3,0.076,495.9,29996.96203
78,15.57,58.06,0.077,498.1,30258.22785
79,15.65,58.7,0.077,498.1,30404.05063
80,15.73,59.33,0.076,498.8,30094.17722
81,15.68,58.6,0.079,497.0,30161.01266
82,15.7,55.29,0.074,489.2,30318.98734
83,15.75,52.45,0.077,482.4,30154.93671
84,15.83,54.99,0.079,476.1,29984.81013
85,15.79,56.66,0.076,467.7,30021.26582
86,15.72,55.86,0.077,456.1,30021.26582
87,15.8,54.06,0.075,449.2,29911.89873
88,15.74,55.56,0.075,437.4,29747.8481
89,15.72,56.69,0.077,422.0,29705.31646
90,15.64,57.26,0.077,409.0,29571.64557
91,15.69,57.96,0.074,391.8,29553.41772
92,15.69,58.93,0.075,369.4,29383.29114
93,15.6,58.7,0.073,321.0,29061.26582
94,15.39,57.6,0.075,180.3,28885.06329
95,15.34,58.7,0.075,149.5,28854.68354
96,15.33,59.23,0.077,209.1,28836.4557
97,15.48,57.46,0.074,265.1,28708.86076
98,15.54,58.3,0.076,241.3,28556.96203
99,15.53,58.8,0.077,219.0,28514.43038
100,15.48,57.73,0.075,195.7,28666.32911
101,15.47,58.23,0.077,174.9,29097.72152
102,15.44,59.07,0.076,165.8,29723.5443
103,15.35,59.3,0.077,132.0,30871.89873
104,15.34,59.0,0.079,117.4,32700.75949
105,15.11,59.53,0.076,97.6,35793.41772
106,14.93,60.83,0.077,76.5,38321.01266
107,14.71,61.87,0.086,26.51,39129.11392
108,14.48,63.27,0.08,18.0,39560.50633
109,14.29,63.94,0.078,6.994,39517.97468
110,14.09,64.87,0.078,2.818,39596.96203
111,13.89,66.11,0.076,0.809,39469.36709
112,13.79,66.74,0.076,0.146,39682.02532
113,13.54,66.71,0.076,0.062,39888.60759
114,12.51,68.35,0.077,0.055,39991.89873
115,12.06,70.2,0.078,0.066,40210.63291
116,11.75,70.7,0.079,0.055,40216.70886
117,11.61,70.7,0.077,0.081,40435.44304
118,11.5,70.6,0.078,0.059,40514.43038
119,11.43,70.7,0.076,0.048,40544.81013
120,11.42,71.2,0.076,0.073,40283.5443
121,11.69,71.1,0.078,0.091,40216.70886
122,12.05,69.82,0.077,0.048,40477.97468
123,11.87,69.98,0.076,0.051,40611.64557
124,11.61,71.2,0.078,0.04,40435.44304
125,11.5,72.0,0.078,0.07,40204.55696
126,11.43,72.0,0.075,0.051,39584.81013
127,11.29,72.2,0.075,0.051,39274.93671
128,11.49,73.1,0.077,0.044,39141.26582
129,12.24,70.1,0.077,0.073,38643.03797
130,11.84,68.78,0.074,0.066,38011.13924
131,12.2,68.78,0.074,0.066,37622.27848
132,13.1,65.44,0.074,0.04,36953.92405
133,13.2,63.84,0.074,0.081,36394.93671
134,13.18,63.97,0.075,0.081,35289.11392
135,12.64,66.77,0.072,0.044,34438.48101
136,12.39,68.04,0.074,0.084,33678.98734
137,12.24,69.18,0.077,0.059,33077.46835
138,12.11,69.94,0.074,0.088,32117.46835
139,12.07,70.7,0.076,0.033,31357.97468
140,11.99,70.8,0.075,0.055,30701.77215
141,11.32,74.7,0.075,0.07,29681.01266
142,11.37,74.8,0.074,0.084,28830.37975
143,11.41,74.1,0.076,0.077,27748.86076
144,11.01,75.8,0.076,0.033,26703.79747
145,10.74,77.3,0.078,0.084,26169.11392
146,10.47,78.2,0.078,0.088,25622.27848
147,10.31,79.2,0.076,0.091,24972.1519
148,10.63,79.3,0.079,0.037,24437.46835
149,10.84,78.4,0.073,0.062,23914.93671
150,10.94,78.1,0.074,0.084,23629.36709
151,11.12,77.9,0.073,0.055,23118.98734
152,11.02,77.5,0.081,0.062,22736.20253
153,10.5,78.9,0.076,0.066,22049.62025
154,10.22,79.8,0.078,0.088,21855.18987
155,10.42,81.3,0.075,0.073,21685.06329
156,10.86,80.0,0.076,0.066,21533.16456
157,11.17,77.3,0.077,0.066,21107.8481
158,11.1,75.6,0.077,0.077,20986.32911
159,11.14,75.0,0.081,0.07,20725.06329
160,11.21,75.2,0.077,0.062,20889.11392
161,10.71,77.4,0.079,0.07,20433.41772
162,10.7,77.7,0.079,0.062,20372.65823
163,10.58,78.6,0.075,0.055,20135.6962
164,10.59,79.5,0.078,0.084,20129.62025
165,10.68,79.4,0.079,0.059,20117.46835
166,10.52,79.8,0.076,0.066,20087.08861
167,10.34,80.6,0.078,0.088,19740.75949
168,10.18,81.7,0.079,0.059,19831.89873
169,10.41,82.3,0.074,0.077,19989.87342
170,10.41,81.4,0.078,0.095,20166.07595
171,10.39,81.5,0.074,0.088,20214.68354
172,10.16,81.9,0.075,0.073,20141.77215
173,9.97,82.8,0.077,0.066,20056.70886
174,10.03,83.8,0.08,0.029,20257.21519
175,9.98,83.0,0.078,0.073,20500.25316
176,9.74,82.8,0.081,0.106,20712.91139
177,9.54,83.7,0.078,0.081,20810.12658
178,9.53,83.9,0.072,0.066,21041.01266
179,9.56,84.1,0.073,0.077,21709.36709
180,9.58,84.5,0.075,0.048,22742.27848
181,9.44,84.1,0.075,0.07,22948.86076
182,9.4,84.4,0.077,0.07,23258.73418
183,9.38,84.6,0.076,0.044,23471.39241
184,9.16,84.7,0.077,0.048,23653.67089
185,9.06,85.6,0.076,0.059,23769.11392
186,9.17,85.8,0.078,0.073,23380.25316
187,9.46,86.2,0.076,0.07,23033.92405
188,9.74,85.4,0.072,0.077,22803.03797
189,9.8,84.4,0.077,0.081,23082.53165
190,9.58,83.9,0.079,0.073,22803.03797
191,9.51,83.7,0.082,0.081,22268.35443
192,9.44,83.2,0.084,0.124,22742.27848
193,9.18,82.5,0.083,0.871,23526.07595
194,8.96,83.4,0.083,2.95,24340.25316
195,8.71,83.9,0.081,6.657,24881.01266
196,8.52,85.1,0.081,13.02,25190.88608
197,8.43,85.4,0.079,39.1,25531.13924
198,8.44,85.9,0.08,64.11,25980.75949
199,8.69,86.7,0.079,92.3,23495.6962
200,9.02,86.7,0.082,117.2,23629.36709
201,9.17,86.9,0.079,134.7,24006.07595
202,10.48,87.0,0.079,169.2,24771.64557
203,11.13,83.5,0.08,194.0,25148.35443
204,11.68,81.7,0.08,218.3,25518.98734
205,12.22,78.0,0.075,246.6,25695.18987
206,12.61,74.8,0.076,270.6,26351.39241
207,13.07,72.7,0.075,288.3,26667.34177
208,13.61,70.2,0.077,309.8,26794.93671
209,14.0,69.22,0.077,337.2,27281.01266
210,14.55,64.11,0.077,360.7,27645.56962
211,14.94,58.46,0.077,381.4,27773.16456
212,15.08,57.23,0.076,396.6,27894.68354
213,15.18,55.83,0.076,410.8,28532.65823
214,15.28,56.49,0.075,425.6,28818.22785
215,15.27,55.93,0.076,440.2,28684.55696
216,15.21,55.69,0.077,452.5,28939.74684
217,15.18,57.2,0.078,460.5,29152.40506
218,15.11,57.86,0.074,469.9,29674.93671
219,15.1,58.33,0.076,476.2,29826.83544
220,15.26,58.8,0.076,482.3,29905.82278
221,15.15,60.87,0.075,485.1,29990.88608
222,15.23,60.53,0.076,487.1,29966.58228
223,15.22,60.2,0.077,487.6,29881.51899
224,15.22,59.83,0.076,486.9,29760.0
225,15.33,59.16,0.076,484.1,29292.1519
226,15.41,58.13,0.076,481.1,29140.25316
227,15.43,58.0,0.077,477.2,28872.91139
228,15.56,56.03,0.075,470.9,28672.40506
229,15.59,55.73,0.075,463.4,28502.27848
230,15.47,56.29,0.077,451.8,28684.55696
231,15.55,55.99,0.074,441.9,28617.72152
232,15.57,56.53,0.076,427.9,28635.94937
233,15.64,55.35,0.077,413.9,28556.96203
234,15.59,55.76,0.077,399.4,28721.01266
235,15.58,57.03,0.077,381.1,28696.70886
236,15.49,57.19,0.075,364.3,29049.11392
237,15.45,57.86,0.075,345.8,29255.6962
238,15.36,57.72,0.075,324.6,29012.65823
239,15.38,58.02,0.074,302.9,29091.64557
240,15.37,58.59,0.077,280.3,29030.88608
241,15.23,59.76,0.077,260.6,29267.8481
242,15.23,61.12,0.075,238.2,29480.50633
243,15.24,61.63,0.075,216.8,30161.01266
244,15.19,61.72,0.075,192.0,31011.64557
245,15.17,61.76,0.077,165.5,31029.87342
246,15.22,59.95,0.076,142.6,32390.88608
247,15.17,61.92,0.076,119.9,33685.06329
248,15.02,62.32,0.076,98.7,35659.74684
249,14.9,61.82,0.079,77.5,38187.34177
250,14.81,61.79,0.078,58.1,40648.10127
251,14.68,62.05,0.079,22.4,41565.56962
252,14.54,64.02,0.074,11.04,41644.55696
253,14.38,64.55,0.077,6.504,41814.68354
254,14.23,65.55,0.076,3.071,41766.07595
255,14.11,65.79,0.081,0.933,41753.92405
256,14.03,66.72,0.074,0.143,41808.60759
257,13.95,67.52,0.074,0.037,41699.24051
258,13.87,68.59,0.075,0.066,41280.0
259,13.74,69.46,0.074,0.081,41583.79747
260,13.55,69.9,0.076,0.029,41851.13924
261,13.43,69.86,0.076,0.04,41608.10127
262,13.35,69.86,0.076,0.073,41395.44304
263,13.2,70.5,0.076,0.055,41273.92405
264,13.42,68.89,0.073,0.055,40939.74684
265,13.55,68.12,0.077,0.055,41249.62025
266,13.42,68.52,0.075,0.055,41316.4557
267,13.3,69.03,0.075,0.055,41182.78481
268,13.33,68.72,0.076,0.066,41061.26582
269,13.45,68.59,0.075,0.066,40830.37975
270,13.47,66.99,0.074,0.048,40830.37975
271,13.29,66.99,0.075,0.051,40356.4557
272,13.15,66.42,0.078,0.055,39797.46835
273,13.03,66.62,0.074,0.07,39116.96203
274,12.93,67.29,0.076,0.07,38564.05063
275,12.88,67.46,0.075,0.051,38102.27848
276,12.86,67.76,0.074,0.084,37792.40506
277,12.87,67.96,0.075,0.066,37117.97468
278,12.92,68.52,0.074,0.037,36218.73418
279,12.96,68.62,0.075,0.102,35191.89873
280,12.88,69.33,0.075,0.062,34754.43038
281,12.77,69.86,0.075,0.11,33909.87342
282,12.82,70.1,0.075,0.077,32785.82278
283,12.75,70.4,0.071,0.051,31916.96203
284,12.54,71.5,0.077,0.051,30252.1519
285,12.23,72.9,0.077,0.059,29346.83544
286,12.19,72.8,0.077,0.07,28593.41772
287,12.31,72.6,0.072,0.044,27779.24051
288,12.08,74.0,0.076,0.117,26661.26582
289,12.16,74.0,0.072,0.07,26150.88608
290,12.07,74.1,0.074,0.102,25433.92405
291,11.48,76.8,0.077,0.07,24947.8481
292,11.45,77.7,0.074,0.073,24540.75949
293,11.8,76.6,0.076,0.018,23884.55696
294,12.23,75.1,0.074,0.062,23422.78481
295,12.39,71.0,0.078,0.062,23222.27848
296,12.42,71.4,0.077,0.059,22766.58228
297,12.4,71.5,0.075,0.062,22365.56962
298,11.84,73.4,0.079,0.073,22098.22785
299,11.51,73.0,0.076,0.044,21946.32911
300,11.35,73.6,0.081,0.095,21691.13924
301,11.27,73.8,0.077,0.055,21575.6962
302,11.33,74.5,0.073,0.044,21502.78481
303,11.44,75.0,0.078,0.081,21332.65823
304,12.26,75.5,0.076,0.073,21059.24051
305,13.08,70.9,0.076,0.062,21065.31646
306,12.78,71.8,0.078,0.055,20980.25316
307,12.34,73.2,0.076,0.088,20931.64557
308,12.2,73.8,0.072,0.084,20658.22785
309,12.04,74.7,0.077,0.077,20226.83544
310,11.96,74.9,0.077,0.07,20220.75949
311,11.92,75.2,0.077,0.059,20330.12658
312,11.85,75.1,0.083,0.077,20202.53165
313,11.66,75.5,0.084,0.07,19989.87342
314,11.55,76.1,0.077,0.055,19989.87342
315,11.6,75.1,0.081,0.073,20087.08861
316,11.17,77.8,0.076,0.077,20129.62025
317,10.83,78.5,0.076,0.066,20299.74684
318,10.74,78.6,0.077,0.048,20390.88608
319,10.57,80.3,0.081,0.04,20500.25316
320,10.49,80.3,0.08,0.084,20755.44304
321,10.69,81.6,0.078,0.073,20986.32911
322,11.22,80.0,0.076,0.077,21454.17722
323,11.36,77.9,0.077,0.062,22122.53165
324,11.44,77.5,0.079,0.102,22954.93671
325,11.49,76.7,0.073,0.084,23605.06329
326,11.33,76.8,0.075,0.062,24255.18987
327,11.16,77.3,0.082,0.048,24656.20253
328,10.89,77.5,0.082,0.099,24552.91139
329,10.27,80.2,0.078,0.077,24607.59494
330,10.15,80.8,0.08,0.055,24534.68354
331,10.0,81.6,0.077,0.062,24662.27848
332,9.9,81.5,0.076,0.048,24534.68354
333,9.67,81.6,0.08,0.084,24151.89873
334,9.27,81.5,0.08,0.059,23811.64557
335,9.03,81.8,0.079,0.07,23532.1519
336,8.85,82.7,0.082,0.146,23884.55696
337,8.68,83.1,0.083,0.834,24522.53165
338,8.54,83.7,0.078,2.88,24874.93671
339,8.38,84.9,0.081,6.306,25251.64557
340,8.5,84.9,0.079,12.91,25871.39241
341,8.48,85.7,0.082,38.0,26466.83544
342,8.4,85.3,0.082,64.8,27135.18987
343,8.51,85.5,0.083,85.3,27997.97468
344,8.8,85.0,0.084,109.4,28107.34177
345,9.09,84.1,0.081,135.3,28417.21519
346,9.62,84.5,0.082,161.3,29085.56962
347,10.89,85.9,0.085,191.6,29383.29114
348,12.43,83.3,0.079,220.3,30057.72152
349,13.02,77.5,0.084,245.9,30756.4557
350,13.38,74.4,0.078,269.7,30932.65823
351,13.64,73.2,0.079,294.9,31272.91139
352,13.88,72.2,0.084,319.0,31844.05063
353,14.16,72.3,0.081,339.3,32281.51899
354,14.54,69.24,0.084,361.2,32749.36709
355,14.75,67.1,0.078,380.3,32974.17722
356,14.87,66.57,0.08,397.2,33004.55696
357,15.0,65.1,0.083,413.4,33217.21519
358,15.08,64.4,0.079,428.2,33332.65823
359,15.18,64.23,0.077,440.5,33113.92405
360,15.28,64.43,0.074,452.5,33168.60759
361,15.19,63.6,0.074,462.8,33751.89873
362,15.18,64.77,0.075,470.7,34019.24051
363,15.21,65.33,0.076,478.0,34116.4557
364,15.31,64.2,0.074,484.0,34468.86076
365,15.35,63.13,0.073,488.8,34468.86076
366,15.43,62.93,0.073,492.7,34341.26582
367,15.39,62.9,0.074,493.3,33964.55696
368,15.41,62.83,0.074,491.9,33502.78481
369,15.57,62.7,0.077,490.1,33302.27848
370,15.37,63.4,0.076,487.1,33356.96203
371,15.49,63.46,0.075,480.4,33271.89873
372,15.57,63.7,0.073,472.9,32627.8481
373,15.48,63.76,0.075,465.8,32694.68354
374,15.36,64.16,0.073,455.2,32366.58228
375,15.35,64.19,0.074,443.9,32269.36709
376,15.41,64.1,0.074,430.9,32293.67089
377,15.36,65.23,0.075,415.4,32208.60759
378,15.44,64.86,0.075,401.3,32251.13924
379,15.48,64.1,0.075,385.4,32567.08861
380,15.45,64.86,0.076,366.1,32366.58228
381,15.44,64.93,0.074,348.4,32336.20253
382,15.34,65.3,0.075,328.3,32257.21519
383,15.3,65.83,0.075,306.7,31983.79747
384,15.34,66.4,0.075,283.3,31777.21519
385,15.34,66.83,0.071,259.9,31874.43038
386,15.23,67.66,0.076,234.7,31740.75949
387,15.18,67.73,0.075,208.8,32196.4557
388,15.09,67.66,0.076,184.9,32263.29114
389,14.96,66.19,0.077,160.4,32688.60759
390,14.94,64.99,0.075,131.7,33241.51899
391,14.89,65.45,0.073,115.7,34669.36709
392,14.85,65.55,0.077,97.1,36200.50633
393,14.78,65.82,0.075,77.8,39062.27848
394,14.68,67.22,0.073,58.28,41486.58228
395,14.51,68.26,0.077,26.56,42312.91139
396,14.32,69.56,0.075,11.76,42495.18987
397,14.14,70.9,0.076,6.804,42750.37975
398,13.98,72.1,0.076,3.327,42871.89873
399,13.86,73.0,0.074,1.014,42993.41772
400,13.45,73.7,0.075,0.209,42823.29114
401,12.2,77.3,0.076,0.059,42677.46835
402,11.85,78.2,0.074,0.066,42434.43038
403,11.53,79.0,0.078,0.073,42671.39241
404,11.25,80.0,0.075,0.059,42720.0
405,11.12,80.5,0.074,0.073,42689.62025
406,10.92,81.2,0.076,0.051,42476.96203
407,10.93,81.3,0.079,0.059,42288.60759
408,10.69,81.5,0.077,0.055,41960.50633
409,10.39,81.5,0.078,0.088,42416.20253
410,10.17,83.1,0.074,0.084,42519.49367
411,10.03,82.9,0.075,0.081,42318.98734
412,9.61,83.9,0.076,0.066,42221.77215
413,9.71,84.2,0.075,0.062,42033.41772
414,9.62,83.4,0.074,0.055,41571.64557
415,9.49,83.5,0.073,0.037,40970.12658
416,9.33,83.7,0.076,0.066,40490.12658
417,9.23,83.9,0.074,0.059,39870.37975
418,9.14,84.0,0.073,0.055,39347.8481
419,9.11,83.8,0.073,0.081,38916.4557
420,9.07,83.8,0.073,0.073,37962.53165
421,9.0,83.9,0.072,0.051,37300.25316
422,9.05,84.0,0.072,0.062,36565.06329
423,8.98,83.6,0.073,0.062,35750.88608
424,8.81,83.9,0.075,0.051,34535.6962
425,8.72,84.0,0.076,0.062,33654.68354
426,8.51,84.3,0.075,0.062,32457.72152
427,8.52,85.0,0.075,0.073,31686.07595
428,8.6,84.4,0.074,0.048,30847.59494
429,8.49,84.5,0.077,0.04,30063.79747
430,8.33,84.7,0.076,0.059,29298.22785
431,8.5,84.7,0.073,0.077,28550.88608
432,8.52,83.7,0.077,0.062,27657.72152
433,8.63,83.5,0.073,0.044,27153.41772
434,8.69,82.8,0.076,0.044,26442.53165
435,8.77,82.3,0.075,0.055,26053.67089
436,8.36,82.0,0.078,0.055,25525.06329
437,8.17,82.7,0.075,0.062,24795.94937
438,8.13,82.4,0.074,0.037,23975.6962
439,8.14,82.3,0.074,0.073,23562.53165
440,8.15,82.2,0.076,0.077,23179.74684
441,8.33,82.2,0.075,0.062,23076.4557
442,8.36,81.4,0.076,0.073,22918.48101
443,8.23,80.7,0.076,0.059,22772.65823
444,8.13,81.2,0.075,0.059,22450.63291
445,8.04,81.2,0.075,0.066,22237.97468
446,7.87,81.8,0.074,0.073,22086.07595
447,7.91,81.8,0.078,0.07,21751.89873
448,7.9,81.8,0.077,0.077,21770.12658
449,7.88,81.6,0.077,0.077,21745.82278
450,7.89,81.2,0.074,0.066,21569.62025
451,7.94,81.2,0.074,0.062,21393.41772
452,7.84,80.5,0.073,0.059,21229.36709
453,7.59,80.4,0.076,0.07,21113.92405
454,7.44,81.1,0.076,0.062,21363.03797
455,7.59,81.0,0.082,0.044,21308.35443
456,7.46,81.3,0.091,0.084,21120.0
457,6.991,82.5,0.086,0.084,21053.16456
458,6.683,83.5,0.086,0.04,20378.73418
459,6.447,84.1,0.087,0.062,19479.49367
460,6.091,84.9,0.083,0.055,19746.83544
461,5.88,85.9,0.083,0.055,19661.77215
462,6.003,86.3,0.085,0.062,19746.83544
463,5.904,86.7,0.085,0.062,20087.08861
464,6.042,86.7,0.087,0.062,21533.16456
465,5.976,86.8,0.085,0.077,21818.73418
466,5.965,86.9,0.084,0.062,22049.62025
467,6.025,87.1,0.085,0.081,22869.87342
468,5.946,86.9,0.084,0.07,23696.20253
469,5.795,86.9,0.086,0.07,23878.48101
470,5.488,87.1,0.087,0.029,24309.87342
471,5.352,87.1,0.083,0.051,24346.32911
472,5.076,87.7,0.082,0.066,24716.96203
473,5.291,88.3,0.09,0.033,24716.96203
474,5.364,87.7,0.087,0.051,24972.1519
475,5.393,87.8,0.087,0.048,24911.39241
476,5.524,87.7,0.088,0.051,24443.5443
477,5.576,87.4,0.091,0.07,24030.37975
478,5.421,86.9,0.09,0.07,23763.03797
479,5.336,86.7,0.089,0.11,23605.06329
480,5.139,86.9,0.085,0.146,24066.83544
481,5.01,87.2,0.09,0.878,24637.97468
482,5.099,87.4,0.084,2.906,24990.37975
483,4.917,87.5,0.09,6.456,25482.53165
484,4.779,87.7,0.086,13.9,26041.51899
485,4.873,87.8,0.089,47.75,26472.91139
486,4.872,87.2,0.088,70.5,26849.62025
487,5.009,86.9,0.084,92.6,27706.32911
488,5.065,86.6,0.088,118.0,28441.51899
489,5.218,86.3,0.089,145.1,28891.13924
490,5.54,85.9,0.088,170.9,29122.02532
491,5.738,84.7,0.089,196.1,28599.49367
492,6.0,84.1,0.091,220.3,29122.02532
493,6.271,83.0,0.09,248.3,29134.17722
494,6.593,81.6,0.09,272.8,29899.74684
495,6.933,81.2,0.09,297.3,30507.34177
496,7.22,81.2,0.091,320.5,30932.65823
497,7.54,81.0,0.091,343.3,31266.83544
498,8.01,79.8,0.088,354.4,31485.56962
499,8.57,79.0,0.088,384.7,31777.21519
500,9.04,78.5,0.09,402.8,32111.39241
501,9.6,77.3,0.09,420.1,32615.6962
502,10.14,75.6,0.094,436.2,34444.55696
503,10.8,73.5,0.089,451.6,34438.48101
504,11.47,70.1,0.085,466.4,33873.41772
505,12.0,67.75,0.086,477.0,33988.86076
506,12.6,66.24,0.088,485.7,34158.98734
507,13.19,65.44,0.086,492.7,34444.55696
508,13.66,65.01,0.087,499.7,34256.20253
509,13.92,63.81,0.086,503.9,34116.4557
510,14.41,63.77,0.084,505.9,33855.18987
511,14.86,61.6,0.087,508.4,33703.29114
512,15.34,60.2,0.085,506.6,33593.92405
513,16.13,58.43,0.085,503.5,33180.75949
514,16.38,55.89,0.084,501.0,32870.88608
515,17.05,55.46,0.087,486.7,32810.12658
516,17.65,53.72,0.084,485.9,32676.4557
517,17.55,50.78,0.082,468.6,32433.41772
518,17.43,50.65,0.076,458.1,32342.27848
519,17.4,53.26,0.077,448.2,32506.32911
520,17.42,53.72,0.077,430.7,32706.83544
521,17.49,56.59,0.077,418.2,32488.10127
522,17.33,57.36,0.075,409.7,32475.94937
523,17.23,59.17,0.075,391.1,32591.39241
524,17.4,59.07,0.077,373.1,32336.20253
525,17.38,59.6,0.077,354.9,32220.75949
526,17.24,60.4,0.073,335.5,32293.67089
527,17.07,61.2,0.073,314.5,31983.79747
528,17.09,61.8,0.074,291.0,31552.40506
529,17.3,61.47,0.075,266.4,31406.58228
530,17.26,61.17,0.075,229.8,31613.16456
531,17.36,61.04,0.077,211.4,31692.1519
532,17.6,60.67,0.081,189.1,31752.91139
533,17.57,59.83,0.077,160.3,31673.92405
534,17.57,60.33,0.076,134.8,32166.07595
535,17.24,61.83,0.074,112.0,33277.97468
536,16.89,63.5,0.075,88.0,35513.92405
537,16.35,66.23,0.073,71.1,38339.24051
538,15.84,67.87,0.074,52.73,41182.78481
539,15.44,69.54,0.073,27.54,42179.24051
540,14.98,71.1,0.077,11.43,42938.73418
541,14.57,72.3,0.079,7.03,43309.36709
542,14.13,73.2,0.081,3.532,43485.56962
543,13.22,75.6,0.083,1.142,43133.16456
544,12.87,76.7,0.073,0.179,43242.53165
545,12.43,77.4,0.073,0.106,43187.8481
546,12.21,77.6,0.069,0.051,43163.5443
547,12.06,78.1,0.075,0.044,43145.31646
548,12.26,79.8,0.087,0.113,43388.35443
549,13.39,79.2,0.086,0.106,42592.40506
550,13.83,71.8,0.088,0.051,42203.5443
551,13.83,67.63,0.09,0.07,42397.97468
552,13.8,66.7,0.086,0.095,42197.46835
553,13.72,66.66,0.088,0.077,42501.26582
554,13.55,67.73,0.089,0.066,42774.68354
555,13.44,68.2,0.083,0.04,42653.16456
556,13.32,68.83,0.087,0.044,42337.21519
557,13.1,69.16,0.084,0.07,41832.91139
558,12.82,69.5,0.086,0.044,41456.20253
559,12.49,70.5,0.081,0.113,41055.18987
560,12.28,70.8,0.083,0.033,40721.01266
561,12.09,71.3,0.083,0.051,40210.63291
562,11.9,71.1,0.088,0.044,39293.16456
563,11.36,72.2,0.083,0.07,38624.81013
564,10.96,73.9,0.084,0.077,38357.46835
565,10.58,75.5,0.086,0.062,37531.13924
566,10.44,76.3,0.082,0.073,37026.83544
567,10.59,76.3,0.08,0.066,36188.35443
568,10.66,75.7,0.087,0.088,35064.3038
569,10.57,75.9,0.085,0.07,34323.03797
570,10.4,76.1,0.085,0.073,33302.27848
571,10.27,75.9,0.085,0.095,32342.27848
572,9.89,77.6,0.083,0.051,31339.74684
573,9.64,77.9,0.083,0.051,30343.29114
574,9.64,77.7,0.084,0.055,29595.94937
575,9.46,78.0,0.086,0.081,28708.86076
576,9.0,79.7,0.085,0.048,27663.79747
577,8.81,80.4,0.089,0.037,26715.94937
578,9.04,80.1,0.087,0.07,26205.56962
579,9.21,78.5,0.084,0.088,25622.27848
