,Temperature,Humidity,WindSpeed,GeneralDiffuseFlows
41997,22.24,70.9,4.916,147.9
41998,22.27,70.3,4.917,106.4
41999,21.65,72.0,4.921,108.7
42000,21.31,72.5,4.921,112.4
42001,21.41,73.3,4.921,125.6
42002,21.46,74.4,4.916,235.6
42003,21.59,75.9,4.918,183.2
42004,21.53,76.8,4.916,103.3
42005,21.37,77.3,4.918,76.2
42006,21.41,77.8,4.923,102.4
42007,21.36,78.5,4.919,152.8
42008,21.32,79.0,4.915,53.13
42009,21.2,79.3,4.916,32.47
42010,21.12,79.1,4.918,70.2
42011,21.29,78.8,4.915,128.1
42012,21.31,78.1,4.916,74.5
42013,21.18,77.4,4.917,18.25
42014,21.05,78.1,4.92,5.627
42015,21.02,78.7,4.922,2.746
42016,20.99,79.4,4.921,1.174
42017,21.02,80.3,4.924,0.256
42018,21.08,81.8,4.919,0.077
42019,20.96,83.2,4.917,0.051
42020,20.77,84.1,4.922,0.073
42021,20.67,84.9,4.922,0.066
42022,20.59,85.6,4.922,0.073
42023,20.5,86.2,4.923,0.073
42024,20.43,86.6,4.916,0.08
42025,20.38,87.1,4.924,0.099
42026,20.32,87.4,4.92,0.062
42027,20.26,87.6,4.923,0.095
42028,20.19,87.9,4.922,0.077
42029,20.15,88.2,4.922,0.048
42030,20.06,88.1,4.915,0.077
42031,19.95,87.9,4.918,0.069
42032,20.03,87.5,4.919,0.077
42033,20.05,87.0,4.919,0.102
42034,20.14,86.2,4.922,0.084
42035,20.24,85.4,4.921,0.077
42036,20.28,84.8,4.916,0.088
42037,20.25,84.9,4.916,0.04
42038,20.22,85.0,4.923,0.088
42039,20.21,85.0,4.918,0.077
42040,20.19,85.2,4.915,0.037
42041,20.18,85.5,4.92,0.062
42042,20.19,85.7,4.913,0.066
42043,20.2,85.9,4.92,0.077
42044,20.0,86.0,4.92,0.055
42045,19.76,86.4,4.918,0.095
42046,19.67,86.6,4.921,0.084
42047,19.62,87.1,4.922,0.077
42048,19.61,87.4,4.917,0.066
42049,19.6,87.5,4.918,0.077
42050,19.64,87.8,4.921,0.062
42051,19.63,87.9,4.922,0.088
42052,19.68,88.4,4.922,0.077
42053,19.89,88.3,4.921,0.073
42054,19.98,88.5,4.918,0.077
42055,19.88,88.4,4.916,0.062
42056,19.61,88.6,4.923,0.106
42057,19.64,89.0,4.919,0.095
42058,19.79,88.9,4.921,0.08
42059,19.72,88.8,4.923,0.08
42060,19.65,88.8,4.92,0.073
42061,19.58,88.8,4.921,0.095
42062,19.47,88.8,4.922,0.066
42063,19.33,89.0,4.916,0.088
42064,19.21,89.1,4.923,0.099
42065,19.16,89.1,4.923,0.091
42066,18.85,89.1,4.922,0.106
42067,18.15,89.1,4.925,0.091
42068,17.7,89.5,4.924,0.088
42069,17.68,89.6,4.925,0.084
42070,17.73,89.5,4.924,0.077
42071,17.65,89.6,4.928,0.088
42072,17.53,89.6,4.93,0.11
42073,17.45,89.6,4.932,0.088
42074,17.46,89.7,4.937,0.099
42075,17.39,89.6,4.929,0.11
42076,17.38,89.6,4.923,0.091
42077,17.24,89.7,4.936,0.066
42078,17.24,89.8,4.941,0.091
42079,17.27,89.9,4.94,0.08
42080,17.34,89.8,4.943,0.102
42081,17.29,89.7,4.937,0.095
42082,17.29,89.8,4.922,0.077
42083,17.26,89.7,4.915,0.044
42084,17.19,89.6,4.948,0.069
42085,17.12,89.6,4.925,0.051
42086,17.08,89.8,4.92,0.059
42087,17.12,89.7,4.919,0.069
42088,17.07,89.6,4.93,0.062
42089,17.08,89.6,4.921,0.08
42090,17.06,89.6,4.965,0.077
42091,17.16,89.7,4.998,0.271
42092,17.11,89.2,4.957,1.459
42093,17.0,89.2,4.966,3.66
42094,16.98,89.2,5.044,7.15
42095,16.99,89.2,4.983,32.22
42096,16.97,89.2,4.952,60.68
42097,17.05,89.3,4.924,66.03
42098,17.1,89.1,4.923,72.0
42099,17.22,89.2,4.917,126.2
42100,17.51,89.0,4.915,180.3
42101,17.69,88.7,4.923,209.6
42102,17.98,88.1,4.918,238.3
42103,18.28,87.7,4.917,265.5
42104,18.56,87.1,4.919,293.0
42105,18.9,86.4,4.921,320.7
42106,19.63,86.6,4.919,351.1
42107,20.32,85.3,4.915,380.0
42108,20.6,83.6,4.914,402.0
42109,20.77,80.2,4.917,422.5
42110,21.11,79.1,4.92,456.5
42111,21.29,77.8,4.916,480.8
42112,21.42,76.2,4.921,502.4
42113,21.73,75.6,4.917,516.5
42114,21.94,74.6,4.913,539.2
42115,22.18,73.9,4.92,547.4
42116,22.2,74.2,4.916,561.1
42117,21.84,76.8,4.92,607.0
42118,21.94,76.3,4.917,603.4
42119,22.01,76.5,4.924,572.9
42120,22.12,75.8,4.918,593.2
42121,22.33,74.5,4.918,598.7
42122,22.9,73.6,4.919,610.7
42123,22.87,71.6,4.918,622.5
42124,23.21,71.2,4.921,622.5
42125,23.47,68.87,4.922,625.1
42126,23.53,67.93,4.917,627.8
42127,23.7,66.97,4.922,626.4
42128,24.15,65.83,4.919,625.3
42129,24.22,66.07,4.923,607.1
42130,24.15,67.6,4.917,606.3
42131,24.22,67.87,4.923,608.4
42132,24.03,68.77,4.919,619.1
42133,24.01,69.33,4.919,662.1
42134,23.81,69.23,4.928,133.9
42135,23.61,69.97,4.92,325.2
42136,23.69,71.2,4.923,400.3
42137,23.95,70.2,4.925,370.3
42138,24.05,69.9,4.918,281.3
42139,24.02,69.23,4.924,329.2
42140,24.62,68.9,4.921,246.7
42141,24.92,66.4,4.921,459.0
42142,25.2,64.63,4.921,344.7
42143,25.63,53.86,4.917,300.9
42144,25.89,51.63,4.918,192.1
42145,26.21,49.59,4.923,370.1
42146,26.56,47.99,4.92,322.9
42147,26.55,47.42,4.92,291.9
42148,26.31,47.02,4.92,264.2
42149,26.27,45.99,4.918,233.6
42150,26.11,45.12,4.924,206.4
42151,26.08,44.09,4.92,179.0
42152,26.1,43.85,4.917,150.9
42153,26.0,44.89,4.916,123.7
42154,25.81,45.22,4.917,99.4
42155,25.6,45.32,4.916,77.4
42156,25.44,43.55,4.924,55.78
42157,25.19,46.05,4.917,35.64
42158,24.84,49.29,4.93,17.1
42159,24.51,51.99,4.923,6.607
42160,23.99,55.89,4.922,2.585
42161,23.46,58.26,4.922,0.647
42162,23.13,60.09,4.917,0.128
42163,22.91,61.53,4.918,0.091
42164,22.79,62.23,4.923,0.102
42165,22.67,63.06,4.919,0.088
42166,22.49,64.36,4.921,0.11
42167,22.38,65.49,4.925,0.051
42168,22.37,65.93,4.919,0.091
42169,22.19,67.73,4.925,0.066
42170,21.84,69.76,4.923,0.099
42171,21.52,71.5,4.918,0.084
42172,21.29,73.3,4.924,0.062
42173,21.26,73.6,4.924,0.044
42174,21.35,72.7,4.916,0.084
42175,21.4,71.9,4.923,0.055
42176,21.39,71.4,4.921,0.106
42177,21.2,73.2,4.918,0.044
42178,20.93,75.7,4.92,0.066
42179,20.68,77.3,4.921,0.04
42180,20.36,79.0,4.913,0.073
42181,20.29,79.2,4.919,0.04
42182,20.1,79.6,4.918,0.051
42183,19.74,81.0,4.916,0.066
42184,19.43,81.7,4.921,0.069
42185,19.36,82.1,4.921,0.055
42186,19.27,82.1,4.913,0.062
42187,19.22,82.2,4.918,0.044
42188,19.27,81.9,4.917,0.044
42189,19.3,82.2,4.918,0.066
42190,19.25,82.8,4.92,0.084
42191,19.26,82.8,4.918,0.044
42192,18.97,81.6,4.913,0.069
42193,18.92,82.4,4.914,0.066
42194,18.81,83.0,4.919,0.084
42195,18.79,82.9,4.915,0.051
42196,18.59,83.9,4.917,0.059
42197,18.39,84.7,4.918,0.062
42198,18.23,84.5,4.913,0.055
42199,18.14,84.4,4.915,0.077
42200,18.2,84.1,4.916,0.062
42201,18.21,83.9,4.914,0.059
42202,17.94,84.2,4.915,0.048
42203,17.77,84.4,4.917,0.069
42204,17.82,84.3,4.913,0.073
42205,17.75,84.8,4.914,0.044
42206,17.79,85.2,4.916,0.066
42207,17.82,85.7,4.914,0.051
42208,17.67,86.2,4.913,0.051
42209,17.33,86.1,4.915,0.069
42210,17.08,86.2,4.914,0.073
42211,17.2,86.0,4.914,0.062
42212,17.32,85.7,4.916,0.062
42213,17.15,85.3,4.916,0.113
42214,17.1,85.4,4.913,0.066
42215,17.08,85.6,4.913,0.066
42216,17.03,85.9,4.916,0.048
42217,16.83,86.4,4.913,0.055
42218,16.69,86.6,4.913,0.073
42219,16.65,86.6,4.913,0.073
42220,16.58,86.6,4.913,0.048
42221,16.51,86.9,4.912,0.04
42222,16.53,86.9,4.916,0.051
42223,16.4,87.1,4.912,0.055
42224,16.4,87.3,4.914,0.08
42225,16.38,86.9,4.915,0.066
42226,16.41,87.0,4.913,0.048
42227,16.3,86.9,4.91,0.066
42228,16.21,86.7,4.917,0.055
42229,16.06,86.7,4.912,0.04
42230,15.88,86.9,4.915,0.062
42231,15.74,87.2,4.916,0.069
42232,15.73,87.2,4.913,0.051
42233,15.77,87.3,4.912,0.073
42234,15.81,87.3,4.914,0.051
42235,15.85,87.3,4.913,0.183
42236,15.93,87.2,4.912,1.382
42237,15.88,87.1,4.912,4.516
42238,15.84,87.1,4.916,8.96
42239,15.7,87.1,4.913,23.71
42240,15.64,87.3,4.912,50.48
42241,15.7,87.3,4.916,70.7
42242,15.76,87.3,4.914,95.1
42243,15.85,87.2,4.916,84.7
42244,15.89,87.1,4.914,76.8
42245,15.97,87.2,4.915,84.4
42246,15.93,87.0,4.912,87.7
42247,16.14,87.1,4.916,86.2
42248,16.24,86.9,4.915,177.6
42249,16.53,87.3,4.916,414.0
42250,16.93,86.4,4.913,236.2
42251,17.15,85.7,4.914,205.4
42252,17.59,85.7,4.913,317.2
42253,18.4,85.5,4.915,316.4
42254,19.68,85.6,4.914,444.5
42255,20.44,83.5,4.914,464.2
42256,20.68,81.9,4.914,483.9
42257,21.05,80.3,4.918,506.8
42258,21.49,77.8,4.916,511.7
42259,21.91,74.4,4.919,536.9
42260,22.26,71.4,4.917,548.8
42261,22.61,68.27,4.917,556.2
42262,22.77,66.1,4.918,567.6
42263,22.98,65.1,4.919,598.8
42264,22.93,62.43,4.916,609.3
42265,23.04,64.33,4.919,619.5
42266,22.94,67.3,4.921,581.9
42267,22.75,67.67,4.926,575.8
42268,22.84,68.37,4.92,664.6
42269,23.04,67.27,4.927,657.1
42270,23.1,68.44,4.927,635.0
42271,23.1,69.47,4.918,633.5
42272,23.21,68.87,4.924,623.1
42273,23.19,69.03,4.924,649.1
42274,23.29,68.0,4.92,613.1
42275,23.13,67.97,4.92,374.6
42276,22.81,68.83,4.919,355.2
42277,22.64,68.37,4.92,136.5
42278,22.47,68.93,4.924,178.4
42279,22.41,71.0,4.92,173.9
42280,22.28,72.0,4.922,280.0
42281,22.23,72.0,4.923,247.6
42282,22.11,72.0,4.923,210.0
42283,22.11,72.1,4.922,265.2
42284,22.25,71.8,4.921,287.6
42285,22.34,71.4,4.92,214.6
42286,22.24,71.2,4.921,197.0
42287,22.17,71.9,4.922,197.4
42288,22.14,72.4,4.925,207.6
42289,22.08,73.1,4.92,211.1
42290,22.1,73.4,4.923,168.0
42291,21.95,74.0,4.925,143.2
42292,21.9,75.0,4.92,119.0
42293,21.76,75.7,4.924,115.4
42294,21.74,75.9,4.928,117.8
42295,21.77,75.9,4.927,60.93
42296,21.63,75.9,4.922,68.54
42297,21.54,76.1,4.923,55.89
42298,21.55,76.4,4.917,59.63
42299,21.46,76.5,4.918,36.3
42300,21.32,76.5,4.924,22.32
42301,21.29,76.2,4.922,11.65
42302,21.35,76.6,4.924,5.155
42303,21.29,77.2,4.922,1.408
42304,21.23,77.6,4.925,1.748
42305,21.19,77.9,4.924,0.826
42306,21.16,78.0,4.917,0.077
42307,21.04,78.3,4.917,0.073
42308,21.01,78.5,4.92,0.051
42309,21.0,78.7,4.921,0.044
42310,20.96,78.9,4.917,0.059
42311,20.87,79.4,4.921,0.044
42312,20.76,79.6,4.911,0.04
42313,20.42,80.5,4.915,0.073
42314,20.23,81.0,4.919,0.069
42315,19.94,81.8,4.918,0.069
42316,19.68,82.7,4.919,0.037
42317,19.49,83.4,4.92,0.037
42318,19.35,83.9,4.916,0.04
42319,19.35,84.6,4.92,0.051
42320,19.51,84.8,4.922,0.055
42321,19.61,85.0,4.917,0.033
42322,19.39,84.9,4.919,0.08
42323,19.03,85.6,4.92,0.062
42324,19.0,85.7,4.912,0.059
42325,18.94,86.1,4.916,0.044
42326,18.76,86.3,4.917,0.069
42327,18.7,86.9,4.917,0.059
42328,18.68,87.1,4.919,0.051
42329,18.62,87.0,4.916,0.066
42330,18.48,87.3,4.911,0.055
42331,18.38,87.3,4.914,0.055
42332,18.28,87.5,4.915,0.059
42333,18.19,87.8,4.916,0.059
42334,18.08,88.0,4.917,0.08
42335,18.04,88.1,4.919,0.059
42336,18.0,88.2,4.915,0.044
42337,17.98,88.5,4.914,0.066
42338,18.08,88.6,4.916,0.069
42339,17.92,88.3,4.914,0.062
42340,17.78,88.5,4.916,0.088
42341,17.68,88.7,4.918,0.048
42342,17.61,88.8,4.913,0.04
42343,17.6,88.7,4.916,0.077
42344,17.52,89.1,4.915,0.033
42345,17.36,88.8,4.92,0.113
42346,17.3,89.3,4.917,0.066
42347,17.39,89.2,4.917,0.044
42348,17.45,89.7,4.916,0.077
42349,17.64,90.0,4.915,0.059
42350,17.7,90.0,4.916,0.069
42351,17.7,89.8,4.914,0.04
42352,17.7,89.7,4.915,0.059
42353,17.78,89.8,4.913,0.066
42354,17.87,90.0,4.912,0.062
42355,17.96,90.2,4.914,0.066
42356,17.81,90.1,4.914,0.062
42357,17.7,90.0,4.914,0.062
42358,17.48,90.2,4.915,0.066
42359,17.17,90.2,4.912,0.033
42360,16.99,90.3,4.913,0.048
42361,16.85,90.3,4.913,0.066
42362,16.82,90.4,4.912,0.051
42363,16.98,90.7,4.912,0.044
42364,17.01,90.6,4.911,0.033
42365,17.0,90.5,4.915,0.088
42366,16.95,90.4,4.915,0.062
42367,16.98,90.3,4.912,0.029
42368,16.98,90.2,4.912,0.051
42369,16.97,90.1,4.912,0.051
42370,16.99,90.2,4.911,0.077
42371,16.93,89.9,4.907,0.051
42372,16.88,90.0,4.917,0.08
42373,16.86,90.0,4.914,0.059
42374,16.88,90.2,4.911,0.062
42375,16.9,89.9,4.91,0.055
42376,16.75,89.6,4.913,0.059
42377,16.62,89.6,4.911,0.055
42378,16.57,89.7,4.915,0.066
42379,16.62,89.7,4.912,0.41
42380,16.71,89.7,4.914,3.832
42381,16.54,89.2,4.916,5.686
42382,16.43,89.4,4.913,10.07
42383,16.47,89.5,4.915,29.43
42384,16.6,89.4,4.911,65.78
42385,16.86,89.7,4.914,89.1
42386,17.11,89.7,4.914,95.8
42387,17.19,89.0,4.916,138.1
42388,17.4,88.6,4.916,159.7
42389,17.52,88.4,4.918,194.0
42390,17.75,88.1,4.912,227.7
42391,18.06,87.9,4.917,259.8
42392,18.36,87.3,4.917,286.8
42393,18.94,87.6,4.913,315.9
42394,19.37,85.9,4.917,341.6
42395,19.75,85.1,4.916,378.6
42396,20.09,83.5,4.913,401.8
42397,20.31,81.8,4.913,421.9
42398,20.61,79.5,4.916,399.3
42399,21.11,75.1,4.914,473.1
42400,21.37,70.0,4.917,499.2
42401,21.74,65.2,4.918,516.6
42402,21.93,61.53,4.914,538.4
42403,22.15,60.4,4.919,557.1
42404,22.37,62.4,4.916,570.8
42405,22.21,63.7,4.916,584.9
42406,22.38,64.1,4.921,606.0
42407,22.21,64.6,4.918,597.7
42408,22.15,65.2,4.922,462.2
42409,22.06,65.7,4.921,442.3
42410,22.11,66.5,4.924,500.3
42411,22.09,67.24,4.92,392.9
42412,21.85,66.77,4.92,422.2
42413,21.81,67.47,4.923,424.7
42414,22.25,67.54,4.921,490.8
42415,22.21,66.37,4.923,357.5
42416,21.96,67.47,4.921,483.9
42417,22.05,68.6,4.925,452.2
42418,21.96,69.27,4.92,558.8
42419,22.2,68.77,4.927,561.1
42420,21.95,68.74,4.922,398.7
42421,21.82,68.83,4.919,420.7
42422,21.92,69.17,4.927,389.4
42423,21.89,68.9,4.916,424.0
42424,21.9,68.9,4.919,336.9
42425,21.78,68.97,4.919,289.4
42426,21.65,69.33,4.923,274.3
42427,21.68,69.73,4.926,244.2
42428,21.58,70.7,4.92,227.8
42429,21.52,72.2,4.922,217.8
42430,21.49,72.4,4.921,210.8
42431,21.48,72.7,4.921,237.3
42432,21.5,72.9,4.927,232.6
42433,21.39,73.4,4.916,248.1
42434,21.61,73.2,4.919,224.6
42435,21.38,73.7,4.925,187.0
42436,21.41,73.6,4.923,180.6
42437,21.51,73.4,4.921,159.2
42438,21.46,73.3,4.926,154.5
42439,21.34,74.3,4.919,101.5
42440,21.29,74.5,4.92,111.2
42441,21.22,75.1,4.921,69.35
42442,21.13,75.9,4.92,49.69
42443,21.03,76.5,4.917,27.8
42444,20.99,77.1,4.927,19.14
42445,20.93,77.5,4.924,11.79
42446,20.86,78.3,4.921,5.547
42447,20.79,79.0,4.926,1.781
42448,20.72,79.5,4.927,0.358
42449,20.64,80.2,4.924,0.099
42450,20.62,80.6,4.919,0.08
42451,20.62,81.0,4.922,0.037
42452,20.58,81.7,4.923,0.033
42453,20.57,82.2,4.919,0.04
42454,20.55,82.7,4.923,0.066
42455,20.51,83.1,4.924,0.033
42456,20.44,83.4,4.918,0.084
42457,20.43,83.5,4.917,0.04
42458,20.43,83.5,4.92,0.04
42459,20.43,83.2,4.917,0.048
42460,20.45,82.9,4.92,0.059
42461,20.37,82.3,4.921,0.055
42462,20.36,81.3,4.915,0.073
42463,20.42,79.7,4.914,0.059
42464,20.41,78.3,4.919,0.051
42465,20.35,77.5,4.917,0.069
42466,20.27,77.3,4.919,0.04
42467,20.25,77.3,4.919,0.059
42468,20.27,77.7,4.914,0.055
42469,20.27,78.2,4.914,0.048
42470,20.26,78.7,4.92,0.062
42471,20.23,79.2,4.917,0.044
42472,20.22,79.5,4.922,0.055
42473,20.15,79.7,4.922,0.059
42474,20.16,79.9,4.914,0.062
42475,20.09,80.2,4.913,0.04
42476,20.02,80.2,4.917,0.044
42477,19.86,80.6,4.916,0.048
42478,19.78,80.5,4.918,0.048
42479,19.78,80.1,4.915,0.051
42480,19.77,79.6,4.912,0.069
42481,19.86,78.9,4.914,0.051
42482,19.97,78.0,4.914,0.069
42483,20.01,77.8,4.917,0.048
42484,20.02,78.0,4.919,0.051
42485,20.02,78.4,4.916,0.051
42486,19.98,79.9,4.914,0.069
42487,19.77,81.3,4.916,0.062
42488,19.58,82.0,4.918,0.055
42489,19.38,82.0,4.914,0.055
42490,19.51,81.7,4.915,0.051
42491,19.41,82.3,4.916,0.073
42492,18.7,82.2,4.913,0.033
42493,18.57,82.2,4.914,0.051
42494,18.53,82.3,4.915,0.051
42495,18.5,82.6,4.914,0.044
42496,18.54,82.5,4.916,0.062
42497,18.63,82.3,4.913,0.048
42498,18.69,82.3,4.914,0.08
42499,18.64,81.9,4.915,0.037
42500,18.59,81.7,4.915,0.033
42501,18.59,81.6,4.916,0.055
42502,18.57,81.7,4.916,0.048
42503,18.81,81.5,4.919,0.073
42504,18.72,81.0,4.917,0.066
42505,18.65,80.7,4.915,0.066
42506,18.7,80.6,4.917,0.088
42507,18.9,79.9,4.914,0.059
42508,19.02,79.8,4.914,0.048
42509,19.12,79.7,4.915,0.059
42510,19.17,79.6,4.915,0.048
42511,18.73,79.1,4.916,0.055
42512,18.68,80.0,4.916,0.048
42513,18.58,81.0,4.915,0.059
42514,18.43,82.0,4.916,0.062
42515,18.65,83.8,4.916,0.051
42516,19.15,83.8,4.922,0.066
42517,19.23,83.9,4.919,0.077
42518,19.3,83.9,4.917,0.051
42519,19.31,84.2,4.916,0.062
42520,19.16,84.7,4.913,0.051
42521,18.99,85.6,4.911,0.062
42522,18.95,85.9,4.916,0.073
42523,18.12,86.2,4.914,0.069
42524,17.91,86.5,4.912,0.135
42525,18.19,86.8,4.914,0.439
42526,18.36,86.6,4.913,2.026
42527,18.47,86.9,4.917,4.23
42528,18.54,86.7,4.916,6.11
42529,18.76,86.3,4.913,7.82
42530,19.01,86.5,4.916,11.0
42531,18.96,86.5,4.916,15.14
42532,18.99,86.6,4.917,17.43
42533,18.94,86.4,4.917,22.23
42534,19.07,86.4,4.917,30.88
42535,19.23,86.4,4.917,37.91
42536,19.29,86.5,4.914,42.9
42537,19.31,86.6,4.915,49.46
42538,19.32,86.7,4.916,49.02
42539,19.34,86.9,4.918,55.65
42540,19.37,87.0,4.914,69.69
42541,19.39,87.1,4.914,84.4
42542,19.46,87.2,4.916,85.1
42543,19.53,87.3,4.916,94.9
42544,19.64,87.4,4.915,89.3
42545,19.71,87.5,4.918,90.8
42546,19.8,87.6,4.912,101.4
42547,19.71,87.4,4.919,117.1
42548,19.75,87.4,4.915,183.4
42549,19.79,86.3,4.914,196.9
42550,20.01,85.2,4.916,168.0
42551,20.1,84.0,4.915,108.1
42552,20.18,82.9,4.917,133.5
42553,20.36,81.3,4.915,165.9
42554,20.5,80.1,4.917,133.7
42555,20.66,79.3,4.919,279.9
42556,20.91,79.4,4.916,309.2
42557,20.87,77.9,4.92,263.1
42558,20.87,77.0,4.921,188.3
42559,20.9,76.0,4.925,198.8
42560,21.02,75.3,4.925,221.2
42561,21.19,75.1,4.919,210.6
42562,21.15,74.3,4.92,207.9
42563,21.18,72.7,4.919,220.9
42564,21.36,72.1,4.923,223.9
42565,21.4,71.8,4.922,192.1
42566,21.35,71.7,4.919,151.8
42567,21.12,71.6,4.922,156.5
42568,21.09,70.8,4.919,160.6
42569,21.2,70.7,4.92,162.0
42570,21.19,70.3,4.919,168.8
42571,21.21,70.0,4.921,258.0
42572,21.26,69.77,4.921,256.9
42573,21.42,69.6,4.92,296.0
42574,21.57,69.64,4.922,329.8
42575,21.69,68.67,4.922,361.4
42576,21.77,68.64,4.926,233.1
42577,21.63,68.67,4.922,169.4
42578,21.51,68.8,4.921,139.1
42579,21.45,69.37,4.92,94.1
42580,21.36,70.2,4.919,77.4
42581,21.22,71.0,4.92,60.41
42582,21.16,71.8,4.928,43.76
42583,21.12,72.3,4.92,36.95
42584,21.06,72.7,4.919,25.55
42585,21.0,73.5,4.92,19.65
42586,20.89,73.9,4.919,13.25
42587,20.84,74.3,4.918,8.44
42588,20.83,74.9,4.923,5.32
42589,20.78,75.3,4.917,2.38
42590,20.72,75.4,4.918,1.196
42591,20.73,75.6,4.918,0.464
42592,20.73,75.8,4.92,0.165
42593,20.7,76.1,4.919,0.059
42594,20.67,76.5,4.913,0.051
42595,20.66,76.7,4.918,0.048
42596,20.63,76.9,4.919,0.04
42597,20.62,77.2,4.917,0.048
42598,20.6,77.5,4.917,0.051
42599,20.56,77.9,4.917,0.037
42600,20.54,78.3,4.912,0.044
42601,20.51,78.4,4.917,0.055
42602,20.48,78.6,4.918,0.062
42603,20.14,79.5,4.919,0.037
42604,19.8,80.3,4.919,0.062
42605,19.57,80.7,4.919,0.044
42606,19.49,81.4,4.914,0.055
42607,19.72,82.2,4.915,0.051
42608,20.18,81.4,4.917,0.055
42609,20.3,80.4,4.916,0.069
42610,20.35,79.8,4.916,0.037
42611,20.32,79.3,4.916,0.029
42612,20.28,79.1,4.913,0.069
42613,20.2,78.9,4.916,0.059
42614,20.23,78.2,4.92,0.062
42615,20.17,78.0,4.917,0.051
42616,20.15,77.8,4.917,0.048
42617,20.12,77.8,4.922,0.062
42618,20.06,78.0,4.913,0.048
42619,20.06,78.2,4.916,0.026
42620,20.0,78.3,4.917,0.048
42621,19.51,80.4,4.918,0.04
42622,19.72,80.6,4.919,0.04
42623,19.76,80.8,4.918,0.059
42624,19.85,81.0,4.914,0.062
42625,19.88,81.0,4.916,0.029
42626,19.94,81.2,4.917,0.048
42627,19.9,81.7,4.917,0.073
42628,19.77,82.5,4.917,0.073
42629,19.61,82.8,4.914,0.029
42630,19.33,82.9,4.914,0.084
42631,19.29,83.1,4.915,0.051
42632,19.33,83.0,4.917,0.055
42633,19.45,82.3,4.918,0.069
42634,19.5,81.4,4.916,0.029
42635,19.43,80.9,4.919,0.055
42636,19.34,80.8,4.918,0.051
42637,19.26,80.6,4.92,0.055
42638,19.18,80.3,4.92,0.077
42639,18.7,81.2,4.919,0.059
42640,18.52,82.9,4.92,0.048
42641,18.95,82.9,4.919,0.022
42642,19.12,81.8,4.915,0.077
42643,19.16,80.7,4.911,0.037
42644,19.13,80.0,4.911,0.048
42645,19.0,80.1,4.914,0.059
42646,18.6,80.5,4.914,0.051
42647,18.3,81.2,4.914,0.044
42648,17.98,81.3,4.913,0.055
42649,18.02,81.4,4.914,0.044
42650,18.03,81.7,4.914,0.059
42651,17.99,81.5,4.912,0.077
42652,17.5,81.6,4.914,0.044
42653,17.36,81.5,4.915,0.091
42654,17.25,81.0,4.912,0.044
42655,17.2,80.1,4.909,0.051
42656,16.96,78.8,4.91,0.048
42657,16.93,78.7,4.911,0.04
42658,17.09,78.0,4.914,0.044
42659,17.14,77.8,4.911,0.044
42660,17.12,79.0,4.913,0.033
42661,17.13,80.5,4.914,0.066
42662,16.99,82.0,4.912,0.048
42663,16.96,83.5,4.912,0.051
42664,17.03,84.2,4.91,0.044
